Title,Date
[Exclusive Interview with Vivek Ruparel who got into Amazon](http://www.geeksforgeeks.org/toptalent-exclusive-interview-vivek-ruparel-got-amazon/),9-5-2014
[Set 123 (On-Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-123-campus-internship/),8-28-2014
[Set 122 (On-Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-122-campus-internship/),8-27-2014
[Set 121 (On-Campus for SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-121-campus-sde-1/),8-26-2014
[Set 119 (On-Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-119-campus-internship/),8-25-2014
[Set 118 (On-Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-118-campus-internship/),8-24-2014
[Set 117 (On-Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-117-campus-internship/),8-14-2014
[Set 114 (On-Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-114-campus-internship/),8-13-2014
[Set 113 (On-Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-113-campus-internship/),8-10-2014
[Set 112 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-112-campus/),8-9-2014
[Set 111 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-111-campus/),8-8-2014
[Set 109 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-109-campus/),8-7-2014
[Set 108 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-108-campus/),8-6-2014
[Set 107 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-107/),8-5-2014
[Set 103 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-103-campus/),8-4-2014
[Set 101 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-101-campus/),8-3-2014
[Set 100 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-100-campus/),7-30-2014
[Set 99 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-99-campus/),7-28-2014
[Set 98 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-98-campus/),7-27-2014
[Set 97 (On-Campus for SDE1)](http://www.geeksforgeeks.org/amazon-interview-set-97-campus-sde1/),7-26-2014
[Set 96 (On-Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-96-campus-internship/),7-17-2014
[Set 95 (For SDE-I)](http://www.geeksforgeeks.org/amazon-interview-set-95-sde/),7-14-2014
[Set 93](http://www.geeksforgeeks.org/amazon-interview-set-93/),7-11-2014
[Set 91](http://www.geeksforgeeks.org/amazon-interview-set-91/),7-5-2014
[Set 90](http://www.geeksforgeeks.org/amazon-interview-set-90/),7-3-2014
[Set 89](http://www.geeksforgeeks.org/amazon-interview-set-89/),6-25-2014
[Set 88](http://www.geeksforgeeks.org/amazon-interview-set-88/),6-21-2014
[Set 87 (For SDE)](http://www.geeksforgeeks.org/amazon-interview-set-86-sde/),6-7-2014
[Set 86](http://www.geeksforgeeks.org/amazon-interview-set-86/),5-20-2014
[Set 85](http://www.geeksforgeeks.org/amazon-interview-set-85/),5-18-2014
[Set 84](http://www.geeksforgeeks.org/amazon-interview-set-84/),5-16-2014
[Set 83](http://www.geeksforgeeks.org/amazon-interview-set-83/),5-13-2014
[Set 82 (For SDE-2)](http://www.geeksforgeeks.org/amazon-interview-set-82-for-sde-2/),5-9-2014
[Set 80](http://www.geeksforgeeks.org/amazon-interview-set-80/),5-4-2014
[Set 79 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-79-sde-1/),4-22-2014
[Set 78](http://www.geeksforgeeks.org/amazon-interview-set-78-fresher-internship/),4-6-2014
[Set 77 (Off-Campus For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-77-sde-1/),4-3-2014
[Set 75 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-75-sde-1/),3-30-2014
[Set 74](http://www.geeksforgeeks.org/amazon-interview-set-74/),3-29-2014
[Set 73 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-73-for-sde-1/),3-28-2014
[Set 72 (Off campus for SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-72-campus-sde-1/),3-27-2014
[Set 71 (For SDE-2)](http://www.geeksforgeeks.org/amazon-interview-set-71-sde-2/),3-23-2014
[Set 70 (On-Campus For Internship)](http://www.geeksforgeeks.org/amazon-interview-set-70-on-campus/),3-16-2014
[Set 69 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-69-sde-1/),3-13-2014
[Set 68 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-68-for-sde-1/),2-17-2014
[Set 67 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-67-for-sde-1/),2-16-2014
[Set 66 (For SDE)](http://www.geeksforgeeks.org/amazon-interview-set-66-for-sde/),2-14-2014
[Set 65 (Off-Campus for SDE-2)](http://www.geeksforgeeks.org/amazon-interview-set-65-off-campus-for-sde-2amazon-interview-set-65-campus-sde/),2-13-2014
[Set 64 (Off-Campus for SDE)](http://www.geeksforgeeks.org/amazon-interview-set-64-campus-sde/),2-12-2014
[Set 63 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-63-sde-1/),2-8-2014
[Set 62 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-62-for-sde-1/),2-7-2014
[Set 61 (For Internship)](http://www.geeksforgeeks.org/amazon-interview-set-61-internship/),2-4-2014
[Set 60 (For Internship)](http://www.geeksforgeeks.org/amazon-interview-set-60-internship/),2-3-2014
[Set 59 (Off-campus for SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-59-campus-sde-1/),1-24-2014
[Set 58 (On-campus for Software Development Engineer)](http://www.geeksforgeeks.org/amazon-interview-set-58-campus-software-development-engineer/),1-22-2014
[Set 57 (Off-Campus for SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-57/),1-19-2014
[Set 56 (Off-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-56-campus/),1-18-2014
[Set 55 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-55-on-campus/),12-9-2013
[Set 54 (On Campus for SDE)](http://www.geeksforgeeks.org/amazon-interview-set-54-on-campus-for-sde/),11-26-2013
[Set 54 (For Internship)](http://www.geeksforgeeks.org/amazon-interview-set-54-internship/),10-31-2013
[Set 53 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-53-sde-1/),10-30-2013
[Set 52 (For Internship)](http://www.geeksforgeeks.org/amazon-interview-set-52-internship/),10-29-2013
[Set 51 (On-campus for SDET)](http://www.geeksforgeeks.org/amazon-interview-set-51-campus-sdet/),10-3-2013
[Set 50 (On-campus for SDE)](http://www.geeksforgeeks.org/amazon-interview-set-50-campus-sde/),10-2-2013
[Set 49 (On-campus for SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-49-campus-sde-1/),10-1-2013
[Set 48 (On-campus for SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-48-campus-sde-1/),9-30-2013
[Set 47 (Off-campus for SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-47-off-campus-for-sde-1/),9-20-2013
[Set 46 (On-campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-46-campus-internship/),9-15-2013
[Set 45 (For Internship)](http://www.geeksforgeeks.org/amazon-interview-set-45-internship/),9-14-2013
[Set 43 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-43-campus/),9-13-2013
[Set 42 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-42-on-campus/),9-10-2013
[Set 41 (Onâcampus)](http://www.geeksforgeeks.org/amazon-interview-set-41-campus/),9-9-2013
[Set 40 (On-Campus Round 1)](http://www.geeksforgeeks.org/amazon-interview-set-40-campus-round-1/),8-29-2013
[Interview with Pradeep Verma from NIT Trichy who talks about his inter..](http://www.geeksforgeeks.org/interview-pradeep-verma-nit-trichy-talks-internship-amazon/),8-27-2013
[Set 39 (SDE)](http://www.geeksforgeeks.org/amazon-interview-set-39/),8-25-2013
[Set 38 (SDE-I)](http://www.geeksforgeeks.org/amazon-interview-set-38/),8-16-2013
[Set 37](http://www.geeksforgeeks.org/amazon-interview-set-37/),8-5-2013
[Set 36](http://www.geeksforgeeks.org/amazon-interview-set-36/),7-31-2013
[Set 35](http://www.geeksforgeeks.org/amazon-interview-set-35/),7-28-2013
[Set 34](http://www.geeksforgeeks.org/amazon-interview-set-34/),7-27-2013
[Set 33](http://www.geeksforgeeks.org/amazon-interview-set-33-2/),6-16-2013
[Set 32](http://www.geeksforgeeks.org/amazon-interview-set-32/),6-3-2013
[Set 31](http://www.geeksforgeeks.org/amazon-interview-set-31/),6-2-2013
[Set 30](http://www.geeksforgeeks.org/amazon-interview-set-30/),5-11-2013
[Set 29](http://www.geeksforgeeks.org/amazon-interview-set-29/),5-5-2013
[Set 28](http://www.geeksforgeeks.org/amazon-interview-3/),5-4-2013
[Set 27](http://www.geeksforgeeks.org/amazon-interview-set-27/),4-22-2013
[Set 26](http://www.geeksforgeeks.org/amazon-interview-set-26/),4-20-2013
"[Google, Facebook, Amazon, Walmart & PocketGems, All Fighting For Praso..](http://www.geeksforgeeks.org/google-facebook-amazon-walmart-pocketgems-all-fighting-for-prasoon-mishra/)",4-19-2013
[Set 25](http://www.geeksforgeeks.org/amazon-interview-set-25/),4-19-2013
[Set 24](http://www.geeksforgeeks.org/amazon-interview-set-24/),4-12-2013
[Set 23](http://www.geeksforgeeks.org/amazon-interview-set-23/),3-24-2013
[Set 22](http://www.geeksforgeeks.org/amazon-interview-set-22/),3-4-2013
[Set 21](http://www.geeksforgeeks.org/amazon-interview-set-21/),2-21-2013
[Set 20](http://www.geeksforgeeks.org/amazon-interview-set-20/),2-18-2013
"[Interview with Sujeet Gholap, placed in Microsoft, Google, Samsung, Go..](http://www.geeksforgeeks.org/toptalent-in-interview-with-sujeet-gholap-placed-in-microsoft-google-samsung-goldman-sachs-tower-research/)",1-26-2013
[Set 19](http://www.geeksforgeeks.org/amazon-interview-set-19/),1-25-2013
[Set 18](http://www.geeksforgeeks.org/amazon-interview-set-18/),1-22-2013
[Set 17](http://www.geeksforgeeks.org/amazon-interview-set-17/),1-15-2013
[Convert a BST to a Binary Tree such that sum of all greater keys is ad..](http://www.geeksforgeeks.org/convert-bst-to-a-binary-tree/),1-1-2013
[Set 16](http://www.geeksforgeeks.org/amazon-interview-set-16/),12-18-2012
[Set 14](http://www.geeksforgeeks.org/amazon-interview-set-14-2/),12-17-2012
[Set 13](http://www.geeksforgeeks.org/amazon-interview-set-13/),12-12-2012
[Set 12](http://www.geeksforgeeks.org/amazon-interview-set-12/),12-4-2012
[Set 11](http://www.geeksforgeeks.org/amazon-interview-set-11/),11-25-2012
[Set 10](http://www.geeksforgeeks.org/amazon-interview-set-10/),11-16-2012
[Set 9 (Answers)](http://www.geeksforgeeks.org/amazon-interview-set-9-answers/),11-15-2012
[Set 9](http://www.geeksforgeeks.org/amazon-interview-set-8-2/),11-14-2012
[Set 8](http://www.geeksforgeeks.org/amazon-interview-set-8/),11-2-2012
[Set 6](http://www.geeksforgeeks.org/amazon-interview-2/),9-16-2012
[Set 5](http://www.geeksforgeeks.org/amazon-interview-set-4-3/),9-10-2012
[Set 4](http://www.geeksforgeeks.org/amazon-interview-set-4-2/),9-6-2012
[Set 3](http://www.geeksforgeeks.org/amazon-interview-set-3/),8-27-2012
[Set 2](http://www.geeksforgeeks.org/amazon-interview-set-2/),8-26-2012
[Set 1](http://www.geeksforgeeks.org/amazon-interview/),8-24-2012
[Count total set bits in all numbers from 1 to n](http://www.geeksforgeeks.org/count-total-set-bits-in-all-numbers-from-1-to-n/),6-21-2012
[Set 15](http://www.geeksforgeeks.org/amazon-interview-set-13-2/),
[Set 44 (For Internship)](http://www.geeksforgeeks.org/amazon-interview-set-44-for-internship/),
[Set 76 (For SDE-1)](http://www.geeksforgeeks.org/amazon-interview-set-76-sde-1/),
[Set 81 (For SDE-I)](http://www.geeksforgeeks.org/amazon-interview-set-81-for-sde-i/),
[Set 106 (On Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-106-campus-internship/),
[Set 105 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-105-campus/),
[Set 104](http://www.geeksforgeeks.org/amazon-interview-set-104/),
[Set 102](http://www.geeksforgeeks.org/amazon-interview-set-102/),
[Set 120 (On-Campus for Internship)](http://www.geeksforgeeks.org/amazon-interview-set-120-campus-internship/),
[Set 116 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-116-on-campus/),
[Set 115 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-115-on-campus/),
[Set 110 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-110-campus/),
[Set 131 (For SDET 1)](http://www.geeksforgeeks.org/amazon-interview-experience-set-131-sdet-1/),
[experienceSet 128 (For SDET)](http://www.geeksforgeeks.org/amazon-interview-experience-set-128-sdet/),
[Set 124 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-set-124-campus/),
[Set 156 (On-Campus)](http://www.geeksforgeeks.org/amazon-interview-experience-set-156-campus/),
[Set 152 (Kindle Team SDE-1 )](http://www.geeksforgeeks.org/amazon-interview-experience-set-152-kindle-team-sde-1/),
